Project	Sustenance	Contributors	Usage	Quality	Community	Funding (INR)	Resources	Skills	Grant Year
FLOSSbOxIN	Partial; self-hosted services with small grant and UPI support	Maintainer-only; public maintainer evidence but repeat contributors not visible	Moderate; public search, forge, paste, QR and related services	Usable; privacy-focused self-hosted service bundle	FOSS United project grant; forum/project-showcase discovery	30000	None known	Unknown	2025
VGLUG Foundation	Partial; long-running community with donation channels	Healthy; multi-year organizers and student mentoring visible	Moderate; 10+ year local FOSS training/community footprint	Usable; active training/community programs and public channels	FOSS United project grant	500000	None known	FOSS training program support	2025
Malhar	No; early single-developer search engine with grant-funded roadmap	Maintainer-only; public evidence centers on one developer	Low; benchmark/demo evidence on 2.2M recipe dataset but little adoption visible	Rough; promising implementation but early traction	FOSS United project grant; Forklore listing	300000	None known	Unknown	2025
Zasper	Partial; active product with grant and growing public traction	Thin; active repo and contributor docs, repeat contributor health unclear	Moderate; packaged desktop/web IDE with 2k+ GitHub stars	Usable; installable releases, benchmarks and Jupyter protocol support	FOSS United project grant; FOSDEM showcase support	900000	FOSDEM travel/showcase support	Unknown	2025
CircuitVerse	Yes; established education platform with broad user base	Healthy; public org, GSoC and large fork/contributor ecosystem	High; claims 150k+ users and 1M+ circuits	Mature; docs, testing support, active repos and educational workflows	FOSS United project grant; FOSS Hack partner-project visibility	100000	None known	Unknown	2025
Albony mirror	Partial; self/friend-funded mirror expanded with grant	Thin; maintained by Shrirang Kahale, repeat contributor base unclear	High; 20k+ daily users and 200TB+ yearly traffic	Mature; official mirror for multiple projects with stats/status	FOSS United project grant; Forklore listing	50000	Storage drives/new mirror-node support	Unknown	2025
Project Segfault	Partial; team-run services, grant covers about a year of operations	Thin; team-run, but repeat contributor depth unclear	Moderate; 25+ hosted services and privacy frontends	Usable; status page, wiki, source links and transparency repo	FOSS United project grant	20000	VPS, backups and operations support	Unknown	2025
Rethink DNS	No; FOSS United notes infra costs were personally covered while subscriptions/sponsors remain in progress	Thin; two full-time developers with active repos, broader repeat contributor base unclear	High; 500k+ Play Store downloads and international growth	Mature; active Android firewall/DNS app and serverless resolver docs	FOSS United project grants; maintainer network; FOSDEM showcase support	1000000	Infrastructure-cost support; maintainer support; FOSDEM travel/showcase support	Unknown	2023; 2024
Free Software Community of India (FSCI)	Partial; volunteer services with sponsored hosting	Thin; volunteer-run community, repeat contributor health not quantified	Moderate; public GitLab, wiki, Poddery, mailing lists and communication services	Usable; privacy-respecting public services and community infra	FOSS United project grants	200000	Service infrastructure support	Unknown	2023; 2026
Firefiles	Partial; active repo but business/sustenance model unclear	Thin; 13 contributors visible, repeat recent contributor health unclear	Low; public beta/feedback evidence but adoption not quantified	Usable; open-source BYO-cloud file manager with issues/feedback	FOSS United project grant	600000	None known	Unknown	2023
Skytable	Partial; active database project with OpenCollective/founder backing	Thin; active repo but contributor count appears small	Moderate; niche NoSQL database with public docs/downloads	Usable; AGPL edition, docs, roadmap and active repo	FOSS United project grants	710000	None known	Unknown	2021; 2022
TinkerHub Foundation	Yes; established nonprofit/community with large partner network	Healthy; large org, campus network and many public repos	High; claims 18k+ makers, 1k+ events and 5k+ projects	Mature; registered nonprofit with programs, events and learning paths	FOSS United project grants; Tinkerspace support	10950000	Tinkerspace/community-space support	Peer learning and FOSS training	2020; 2021; 2022
Parseable	Yes; active company/project with managed service	Thin; active repo and contribution channels, repeat contributor health unclear	Moderate; cloud-native logs/observability integrations and active users implied	Mature; HA, RBAC, OAuth2, alerts, docs and active releases	FOSS United project grant	1200000	None known	Unknown	2022
AdonisJS	Yes; full-time lead, sponsors and mature ecosystem	Healthy; core team and community contributors visible	High; hundreds of thousands of monthly npm downloads	Mature; official docs, packages, tests and production users	FOSS United project grant	600000	None known	Unknown	2021
Swathanthra Malayalam Computing	Yes; long-running language computing collective since 2002	Healthy; localization/font volunteer ecosystem and many repos	High; upstream Malayalam/Indic fonts, input methods and localizations	Mature; distro-upstreamed language tech and sustained public work	FOSS United project grant	2500000	None known	Localization and Indic-language computing	2021
Paperd.ink	No; public repo appears dormant since 2022	Inactive; small public repo with little recent evidence	Low; maker visibility but limited sustained adoption evidence	Dormant; open hardware files exist, recent activity limited	FOSS United project grant	1700000	None known	Unknown	2021
Internet Freedom Foundation	Yes; established nonprofit with transparent filings and donors	Healthy; organization with public repos and policy/legal outputs	High; nationally visible digital-rights work and public campaigns	Mature; registered trust, transparency filings and sustained policy work	FOSS United project grants	2600000	None known	Unknown	2020; 2021
Glific	Yes; managed SaaS and open-source project under Tech4Dev ecosystem	Healthy; active org/repos and support ecosystem	High; claims 100M+ messages, 1M+ beneficiaries and 110+ NGOs	Mature; docs, recipes, tests and WhatsApp/NGO workflows	FOSS United project grant	1500000	None known	NGO communication platform support	2021
Biswas / Kerala Rescue / Rebuild Earth	Unknown; disaster-response project evidence is historical	Unknown; volunteer surge during crisis, current contributor health unclear	High; Kerala Rescue reportedly used heavily during floods	Usable; crisis-tested rescue portal, current maintenance unclear	FOSS United project grant	100000	None known	Unknown	2020
Fika lang	No; small language project with limited adoption evidence	Maintainer-only; small repo and contributor base	Low; FOSS Hack visibility but usage evidence thin	Rough; compiler/language repo exists, maturity unclear	FOSS Hack grant	500000	None known	Unknown	2020
