Project	Sustenance	Contributors	Usage	Quality	Community	Funding (INR)	Resources	Skills	Grant Year
Subtitle Studio	Partial; active but very new	Thin; small community repo	Low; release exists, adoption unproven	Usable; cross-platform release and build docs	FOSS United project grant	300000	Unknown; check non-cash support	Unknown; check mentoring provided	2026
osvauld	Partial; active early-stage privacy suite	Thin; 6 contributors visible, depth unclear	Low; alpha-stage suite, adoption unproven	Usable; docs, security policy, alpha release	FOSS United project grant	400000	Unknown; check non-cash support	Unknown; check security review support	2026
Free Software Community of India	Partial; volunteer services with hosted infra support	Thin; volunteer-run, repeat organizer depth unclear	Moderate; public privacy-respecting services	Usable; GitLab, wiki, Poddery and comms services	FOSS United infrastructure/project grants	200000	Service infrastructure support	Unknown; check infra/governance mentoring	2023; 2026
FLOSSbOxIN	Partial; self-hosted services and UPI support	Maintainer-only; repeat contributors not visible	Moderate; public search, forge, paste and QR services	Usable; privacy-focused service bundle	FOSS United project grant; forum discovery	30000	Unknown; check infra support beyond cash	Unknown; check ops/security mentoring	2025
VGLUG Foundation	Partial; long-running community, grant-funded program	Thin; repeat organizers visible, active depth unclear	Moderate; local FOSS training/community footprint	Usable; ongoing programs and public channels	FOSS United community/project grant	500000	Unknown; check venue/travel/tool support	FOSS training program support	2025
Malhar	No; early single-maintainer tool	Maintainer-only; external repeat contributors unclear	Low; benchmark/demo evidence, adoption unclear	Rough; promising but early traction	FOSS United project grant; Forklore listing	300000	Unknown; check compute/data support	Unknown; check NLP/product mentoring	2025
Zasper	Partial; active product, grant/showcase supported	Thin; active repo, contributor depth unclear	Moderate; packaged IDE with visible developer interest	Usable; releases, benchmarks and Jupyter protocol	FOSS United project grant; FOSDEM showcase grant	1000000	FOSDEM travel/showcase support	Unknown; check UX/security mentoring	2025
CircuitVerse	Yes; established education platform	Healthy; GSoC and broader contributor ecosystem	High; 150k+ users and 1M+ circuits claimed	Mature; docs, tests and active educational platform	FOSS United project grant; FOSS Hack partner visibility	100000	Unknown; check non-cash support	Unknown; check contributor-program support	2025
Albony mirror	Partial; student-run mirror needs infra	Thin; one maintainer visible	High; 20k+ daily users and 200TB+/year traffic	Mature; official mirrors, status and traffic stats	FOSS United infrastructure/project grant	50000	Storage drives/new mirror-node support	Unknown; check infra mentoring	2025
Project Segfault	Partial; team-run, ops grant covered runway	Thin; team-run, repeat contributor depth unclear	Moderate; 25+ hosted services	Usable; status, wiki, source and transparency links	FOSS United infrastructure/project grant	20000	VPS, backups and operations support	Unknown; check ops/security mentoring	2025
Rethink DNS	Partial; subscriptions/external grants emerging	Thin; 2 core developers, broader depth unclear	High; 500k+ Play Store downloads	Mature; active Android app and resolver docs	FOSS United project grants; FOSDEM showcase grant	1100000	Infra-cost support; maintainer runway; showcase travel	Unknown; check security/UX mentoring	2023; 2024; 2025
Firefiles	Partial; active repo, support model unclear	Thin; 13 contributors visible, repeat depth unclear	Low; beta/user-feedback evidence only	Usable; BYO-cloud file manager, issues tracked	FOSS United project grant	600000	Unknown; check cloud/storage support	Unknown; check product/security mentoring	2023
Skytable / Sayan Nandan	Partial; active DB project, founder-led	Thin; active repo but small contributor base	Moderate; niche database with docs/downloads	Usable; AGPL edition, docs and roadmap	FOSS United project grants	710000	Unknown; check non-cash support	Unknown; check community/release support	2021; 2022
TinkerHub Foundation	Yes; established nonprofit/community network	Healthy; campus network and repeat organizers	High; 18k+ makers, 1k+ events claimed	Mature; programs, events, learning paths, Tinkerspace	FOSS United organization/community grants	10950000	Tinkerspace/community-space support	Peer learning and FOSS training	2020; 2021; 2022
Parseable	Yes; managed service and active company/project	Thin; active repo, repeat external depth unclear	Moderate; observability integrations, adoption not quantified	Mature; HA, RBAC, OAuth2, alerts and docs	FOSS United project grant	1200000	Unknown; check cloud/infra support	Unknown; check enterprise/community mentoring	2022
AdonisJS	Yes; full-time lead, sponsors and ecosystem	Healthy; core team and community contributors	High; hundreds of thousands of monthly npm downloads	Mature; official docs, packages, testing support	FOSS United project grant	600000	Unknown; check non-cash support	Unknown; check governance/support mentoring	2021
Swathanthra Malayalam Computing	Yes; long-running language computing collective	Healthy; volunteer localization/font ecosystem	High; upstream fonts, input methods, localizations	Mature; distro-upstreamed Indic language tech	FOSS United organization/project grant	2500000	Unknown; check infra/tooling support	Localization and Indic-language computing	2021
Paperd.ink	No; public repo appears dormant	Inactive; little recent contribution evidence	Low; maker visibility, adoption unquantified	Dormant; files exist, recent activity limited	FOSS United open-hardware project grant	1700000	Unknown; check hardware/manufacturing support	Unknown; check product/manufacturing mentoring	2021
Internet Freedom Foundation	Yes; established nonprofit with donors/filings	Healthy; organizational staff/output continuity	High; nationally visible digital-rights work	Mature; transparency filings and sustained outputs	FOSS United public-interest nonprofit grants	2600000	Unknown; check non-cash support	Unknown; check policy/legal support beyond funding	2020; 2021
Glific	Yes; SaaS plus nonprofit/Tech4Dev backing	Healthy; active org/repos and support ecosystem	High; 100M+ messages and 110+ NGOs claimed	Mature; docs, recipes, tests and NGO workflows	FOSS United project grant	1500000	Unknown; check infra/support credits	NGO communication platform support	2021
Biswas / Kerala Rescue / Rebuild Earth	Unknown; historical crisis project	Historical; volunteer surge, current health unclear	Historical; significant Kerala-flood usage	Unknown; current maintenance unclear	FOSS United project/developer grant	100000	Unknown; check post-crisis support	Unknown; check disaster-tech mentoring	2020
Fika lang	No; small language project with thin adoption	Maintainer-only; small repo and contributor base	Low; FOSS Hack visibility, usage thin	Rough; compiler exists, maturity unclear	FOSS Hack-origin project grant	500000	Unknown; check non-cash support	Unknown; check language/ecosystem mentoring	2020
Contrapunctus / OpenStreetMap community mapping	Partial; follow-on grant and volunteer commons	Thin; organizer-led with community participation	Moderate; mapping parties across cities	Mature; repeat workshops and public OSM commons	FOSS United fellowship/community grant	960000	Travel/community-event runway	OSM workshops and contributor onboarding	2025; 2026
Aravinda VK / Sanka and FOSS Kannada tooling	Partial; individual fellowship for mature tooling	Maintainer-only; individual maintainer focus	Moderate; Kannada tools used by organizations per FLOSS/Fund	Mature; long-running public Kannada tooling	FOSS United fellowship grant	600000	Unknown; check non-cash support	Kannada tooling and language-tech support	2026
Prerak Singh / PyDataStructs	Partial; Season of Commits work completed in stages	Thin; fellow plus mentor, project community unclear	Low; library work, adoption not quantified	Usable; benchmarks/backends documented	FOSS United Season of Commits fellowship	75000	Mentorship through Season of Commits	C++/LLVM backend work and benchmarking	2025
Advay Udupa and Aarav / Blender Kannada Tutorials Series	Partial; durable content, production continuity unclear	Thin; small creator team with public feedback	Moderate; repeated public tutorial drafts	Usable; multi-episode Kannada Blender tutorials	FOSS United fellowship/content grant	18000	Unknown; check production support	Blender education in Kannada	2025
CoRE Stack Innovation Challenge	Partial; follow-up grants to turn PoCs into products	Thin; named participants, repeat depth unclear	Moderate; weekly calls and PoCs in geospatial commons	Usable; challenge has documented calls, repos and reports	FOSS United Season of Commits fellowship/POC support	120000	Follow-up PoC-to-product support	Geospatial programming mentorship	2026
Arpit Tripathi / OSS adoption critical-sectors research	Unknown; output not found in public search	Unknown; individual research fellowship	Unknown; adoption/use of research output not visible	Unknown; report/public artifact not verified	FOSS United fellowship/research grant	120000	Unknown; check research support	Open-source adoption policy/research	2025
Ente @ FOSDEM	Yes; commercial open-source privacy product	Healthy; large active repo/community	High; mature encrypted photos/auth ecosystem	Mature; audited, released, packaged apps	FOSS United FOSDEM showcase travel grant	100000	FOSDEM exhibit-booth travel/showcase support	Unknown; check conference mentoring	2025
