rule_id,season,year,status,item_type,proposal_number,proposer,rulebook_ref,summary,effect,reason,category,mechanism,affected_phase,affected_party,temporality,source_kind,source_key,source_url,source_section,extraction_method,confidence
nfl-1926-historical-context-league-rule-1-26427122,1926,1926,historical_context,league_rule,1,,,Halas pushed through a rule that prohibited any team from signing a player whose college class had not graduated.,Halas pushed through a rule that prohibited any team from signing a player whose college class had not graduated.,,league_governance,rule_text_change,player_acquisition,clubs/players,permanent_or_unspecified,secondary_history,hof_chronology,https://www.profootballhof.com/football-history/chronology-of-professional-football/,Pro Football Hall of Fame chronology,chronology_sentence_filter,0.65
nfl-1933-historical-context-playing-rule-6bea3f8c,1933,1933,historical_context,playing_rule,,,,Forward pass allowed from anywhere behind the line of scrimmage.,Forward pass allowed from anywhere behind the line of scrimmage.,,gameplay,rule_text_change,general,league,permanent_or_unspecified,official_history,nflops_evolution,https://operations.nfl.com/the-rules/evolution-of-the-nfl-rules/,NFL Ops evolution narrative,curated_history_seed,0.75
nfl-1933-historical-context-playing-rule-1-146a0e0f,1933,1933,historical_context,playing_rule,1,,,The innovations from the 1932 championship game-inbounds line or hashmarks and goal posts on the goal lines-were adopted.,The innovations from the 1932 championship game-inbounds line or hashmarks and goal posts on the goal lines-were adopted.,,gameplay,rule_text_change,general,league,permanent_or_unspecified,secondary_history,hof_chronology,https://www.profootballhof.com/football-history/chronology-of-professional-football/,Pro Football Hall of Fame chronology,chronology_sentence_filter,0.65
nfl-1933-historical-context-playing-rule-2-418e0d0e,1933,1933,historical_context,playing_rule,2,,,"Also the forward pass was legalized from anywhere behind the line of scrimmage, February 25.","Also the forward pass was legalized from anywhere behind the line of scrimmage, February 25.",,gameplay,rule_text_change,general,league,permanent_or_unspecified,secondary_history,hof_chronology,https://www.profootballhof.com/football-history/chronology-of-professional-football/,Pro Football Hall of Fame chronology,chronology_sentence_filter,0.65
nfl-1934-historical-context-league-rule-1-5ac13d8b,1934,1934,historical_context,league_rule,1,,,"The player waiver rule was adopted, December 10.","The player waiver rule was adopted, December 10.",,league_governance,rule_text_change,player_acquisition,clubs/players,permanent_or_unspecified,secondary_history,hof_chronology,https://www.profootballhof.com/football-history/chronology-of-professional-football/,Pro Football Hall of Fame chronology,chronology_sentence_filter,0.65
nfl-1935-historical-context-league-rule-1-80748f19,1935,1935,historical_context,league_rule,1,,,"The NFL adopted Bert Bell's proposal to hold an annual draft of college players, to begin in 1936, with teams selecting in an inverse order of finish, May 19.","The NFL adopted Bert Bell's proposal to hold an annual draft of college players, to begin in 1936, with teams selecting in an inverse order of finish, May 19.",,league_governance,rule_text_change,player_acquisition,clubs/players,permanent_or_unspecified,secondary_history,hof_chronology,https://www.profootballhof.com/football-history/chronology-of-professional-football/,Pro Football Hall of Fame chronology,chronology_sentence_filter,0.65
nfl-1935-historical-context-playing-rule-2-1ac68a3d,1935,1935,historical_context,playing_rule,2,,,"The inbounds line or hashmarks were moved nearer the center of the field, 15 yards from the sidelines.","The inbounds line or hashmarks were moved nearer the center of the field, 15 yards from the sidelines.",,gameplay,rule_text_change,general,league,permanent_or_unspecified,secondary_history,hof_chronology,https://www.profootballhof.com/football-history/chronology-of-professional-football/,Pro Football Hall of Fame chronology,chronology_sentence_filter,0.65
nfl-1938-historical-context-playing-rule-1-8c79504e,1938,1938,historical_context,playing_rule,1,,,A new rule called for a 15-yard penalty for roughing the passer.,A new rule called for a 15-yard penalty for roughing the passer.,,player_safety,prohibit_contact_technique,contact,players,permanent_or_unspecified,secondary_history,hof_chronology,https://www.profootballhof.com/football-history/chronology-of-professional-football/,Pro Football Hall of Fame chronology,chronology_sentence_filter,0.65
nfl-1943-historical-context-playing-rule-a6d2b89c,1943,1943,historical_context,playing_rule,,,,Substitution restrictions relaxed during wartime roster pressure.,Substitution restrictions relaxed during wartime roster pressure.,,roster_management,rule_text_change,roster,clubs/players,permanent_or_unspecified,official_history,nflops_evolution,https://operations.nfl.com/the-rules/evolution-of-the-nfl-rules/,NFL Ops evolution narrative,curated_history_seed,0.75
nfl-1949-historical-context-playing-rule-de398003,1949,1949,historical_context,playing_rule,,,,"Free substitution restored, accelerating specialist offensive, defensive, and kicking roles.","Free substitution restored, accelerating specialist offensive, defensive, and kicking roles.",,roster_management,rule_text_change,roster,clubs/players,permanent_or_unspecified,official_history,nflops_evolution,https://operations.nfl.com/the-rules/evolution-of-the-nfl-rules/,NFL Ops evolution narrative,curated_history_seed,0.75
nfl-1974-historical-context-playing-rule-d1fc4626,1974,1974,historical_context,playing_rule,,,,Kickoff spot moved from the 40-yard line to the 35-yard line to increase returns.,Kickoff spot moved from the 40-yard line to the 35-yard line to increase returns.,,special_teams,rule_text_change,kickoff,kicking_team/receiving_team,permanent_or_unspecified,official_history,nflops_evolution,https://operations.nfl.com/the-rules/evolution-of-the-nfl-rules/,NFL Ops evolution narrative,curated_history_seed,0.75
nfl-1994-historical-context-playing-rule-874b8938,1994,1994,historical_context,playing_rule,,,,Kickoff spot moved to the 30-yard line after return rates fell.,Kickoff spot moved to the 30-yard line after return rates fell.,,special_teams,rule_text_change,kickoff,kicking_team/receiving_team,permanent_or_unspecified,official_history,nflops_evolution,https://operations.nfl.com/the-rules/evolution-of-the-nfl-rules/,NFL Ops evolution narrative,curated_history_seed,0.75
nfl-2009-historical-context-playing-rule-9b05463f,2009,2009,historical_context,playing_rule,,,,Three-or-more-player blocking wedge on returns banned.,Three-or-more-player blocking wedge on returns banned.,,special_teams,rule_text_change,kickoff,kicking_team/receiving_team,permanent_or_unspecified,official_history,nflops_evolution,https://operations.nfl.com/the-rules/evolution-of-the-nfl-rules/,NFL Ops evolution narrative,curated_history_seed,0.75
nfl-2011-historical-context-playing-rule-be36ffbf,2011,2011,historical_context,playing_rule,,,,Kickoff spot moved from the 30-yard line to the 35-yard line.,Kickoff spot moved from the 30-yard line to the 35-yard line.,,special_teams,rule_text_change,kickoff,kicking_team/receiving_team,permanent_or_unspecified,official_history,nflops_evolution,https://operations.nfl.com/the-rules/evolution-of-the-nfl-rules/,NFL Ops evolution narrative,curated_history_seed,0.75
nfl-2022-approved-playing-rule-16-1-4-9756258f,2022,2022,approved,playing_rule,16-1-4,,16-1-4,Modified overtime in postseason games to require that each team has the opportunity to possess the ball.,Modified overtime in postseason games to require that each team has the opportunity to possess the ball.,,competitive_equity,rule_text_change,overtime,both_teams,permanent_or_unspecified,official_rulebook_pdf_change_list,nflops_rulebook_2022_changes,https://operations.nfl.com/media/5kvgzyss/2022-nfl-rulebook-final.pdf,2022 Rules Changes,pdf_rulebook_change_list,0.96
nfl-2022-approved-playing-rule-6-1-3-03867475,2022,2022,approved,playing_rule,6-1-3,,6-1-3,Makes permanent the free kick formation change implemented during the 2021 season.,Makes permanent the free kick formation change implemented during the 2021 season.,,special_teams,rule_text_change,kickoff,kicking_team/receiving_team,made_permanent,official_rulebook_pdf_change_list,nflops_rulebook_2022_changes,https://operations.nfl.com/media/5kvgzyss/2022-nfl-rulebook-final.pdf,2022 Rules Changes,pdf_rulebook_change_list,0.96
nfl-2022-approved-resolution-g-1-912b95ad,2022,2022,approved,resolution,G-1,"Commissioner's Office, with support of the Competition Committee",,To require the AFC Championship Game to be played at a neutral site and to provide for a possible site change in a Wild Card Game under defined conditions.,To require the AFC Championship Game to be played at a neutral site and to provide for a possible site change in a Wild Card Game under defined conditions.,To mitigate competitive effects in the AFC playoffs resulting from two clubs playing fewer regular season games.,competitive_equity,rule_text_change,postseason_format,clubs,permanent_or_unspecified,official_resolution_article,nflops_resolution_2023_g1_special,https://operations.nfl.com/updates/football-ops/2023-resolution-g-1-approved-at-special-league-meeting/,2023 Resolution G-1,special_resolution_article,0.96
nfl-2023-approved-playing-rule-1-bcd5eb5a,2023,2023,approved,playing_rule,1,Philadelphia,"Rule 5, Section 1, Article 2","amends Rule 5, Section 1, Article 2, to permit the use of zero (""0"") as a jersey numeral; to allow kickers and punters to use any jersey numeral between 0-49 and 90-99.",,,equipment_identity,rule_text_change,roster/equipment,players,permanent_or_unspecified,official_summary,nflops_approved_2023,https://operations.nfl.com/updates/the-rules/approved-2023-playing-rules/,By Clubs,html_summary,0.9
nfl-2023-approved-playing-rule-10-54a9a265,2023,2023,approved,playing_rule,10,Competition Committee,,to change the definition of a launch to leaving one or both feet.,,,player_safety,prohibit_contact_technique,contact,players,permanent_or_unspecified,official_summary,nflops_approved_2023,https://operations.nfl.com/updates/the-rules/approved-2023-playing-rules/,By Competition Committee,html_summary,0.9
nfl-2023-approved-playing-rule-11-b17f8196,2023,2023,approved,playing_rule,11,Competition Committee,,to make the penalty for tripping a personal foul.,,,player_safety,prohibit_contact_technique,contact,players,permanent_or_unspecified,official_summary,nflops_approved_2023,https://operations.nfl.com/updates/the-rules/approved-2023-playing-rules/,By Competition Committee,html_summary,0.9
nfl-2023-approved-playing-rule-12-a106c937,2023,2023,approved,playing_rule,12,Competition Committee,,"to make the penalty for illegally handing the ball forward consistent with other illegal acts, such as illegal forward passes.",,,gameplay,rule_text_change,general,league,permanent_or_unspecified,official_summary,nflops_approved_2023,https://operations.nfl.com/updates/the-rules/approved-2023-playing-rules/,By Competition Committee,html_summary,0.9
nfl-2023-approved-playing-rule-13-01b77aaa,2023,2023,approved,playing_rule,13,Competition Committee,,"to make the penalty for illegal punts, drop kicks, or placekicks consistent with other illegal acts, such as illegal forward passes.",,,gameplay,rule_text_change,general,league,permanent_or_unspecified,official_summary,nflops_approved_2023,https://operations.nfl.com/updates/the-rules/approved-2023-playing-rules/,By Competition Committee,html_summary,0.9
nfl-2023-approved-playing-rule-15-259309eb,2023,2023,approved,playing_rule,15,Competition Committee,,to prevent the offense from benefitting by an extension of the half as a result of their foul.,,,gameplay,rule_text_change,general,league,permanent_or_unspecified,official_summary,nflops_approved_2023,https://operations.nfl.com/updates/the-rules/approved-2023-playing-rules/,By Competition Committee,html_summary,0.9
nfl-2023-approved-playing-rule-16a-dce84f6c,2023,2023,approved,playing_rule,16A,Competition Committee,"Rule 10, Section 2, Article 4","For one year only, puts the ball in play at the receiving team's 25-yard line if there is a fair catch on a free kick behind the receiving team's 25-yard line.","For one year only, puts the ball in play at the receiving team's 25-yard line if there is a fair catch on a free kick behind the receiving team's 25-yard line.",Player Safety,special_teams,rule_text_change,kickoff,kicking_team/receiving_team,one_year_trial,official_full_proposal_article,nflops_adopted_2023_fair_catch,https://operations.nfl.com/updates/the-rules/adopted-playing-rules-change-proposal-putting-ball-in-play-after-fair-catch/,2023 PLAYING RULE PROPOSAL NO. 16A,special_adopted_article,0.98
nfl-2023-approved-playing-rule-17-fb6177a8,2023,2023,approved,playing_rule,17,Competition Committee,,"to clarify use of the helmet against an opponent by removing the ""butt, ram, spear"" language from Article 8 and incorporating those actions into Impermissible Use of the Helmet.",,,player_safety,prohibit_contact_technique,contact,players,permanent_or_unspecified,official_summary,nflops_approved_2023,https://operations.nfl.com/updates/the-rules/approved-2023-playing-rules/,By Competition Committee,html_summary,0.9
